property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_060,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_060,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9997495113850622,0.9046069184942291,,False,263.4822695035461,291.26713947990544,1.0
Property_061,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_061,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999988991605565,0.8171168736561351,,False,493.21985815602835,603.6099290780141,1.0
Property_062,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_062,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.6563431783079634,1.0391731179052082,,False,1107.8297872340424,1066.0685579196218,1.0
Property_063,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_063,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998785708984002,0.8652843350409307,,False,713.1702127659574,824.2033096926714,1.0
Property_064,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_064,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999990373840664,0.8205860908374515,,False,790.2127659574468,962.9858156028369,1.0
Property_065,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_065,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998947641081006,0.8981927895053361,,False,208.31914893617022,231.93144208037825,1.0
Property_066,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_066,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9930141190583955,0.9684179834161462,,False,573.1843971631206,591.8770685579196,1.0
Property_067,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_067,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998900715958231,0.8783199035594188,,False,818.1560283687943,931.5011820330969,1.0
Property_068,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_068,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.6736246704354989,0.9906012653060713,,False,1864.5106382978724,1882.2009456264775,1.0
Property_069,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_069,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999966076776189,0.8485948519602909,,False,2076.808510638298,2447.34988179669,1.0
Property_070,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_070,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.020469632718486605,1.106897108403855,,False,1118.4397163120568,1010.4278959810874,0.1998948083990482
Property_071,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_071,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9576190758111655,0.9385393922268745,,False,431.8723404255319,460.1536643026005,1.0
Property_072,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_072,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9257735561607348,0.9516517651300576,,False,648.9432624113475,681.9125295508275,1.0
Property_073,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_073,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9250589122420141,0.9518254376355386,,False,503.2411347517731,528.7115839243498,1.0
Property_074,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_074,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9995673698348199,0.9108308092614802,,False,423.70212765957444,465.1820330969267,1.0
Property_075,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_075,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999223543506988,0.8761537981257698,,False,3649.1702127659573,4164.988179669031,1.0
Property_076,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_076,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.999997376200849,0.8281231130898229,,False,2188.553191489362,2642.7872340425533,1.0
Property_077,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_077,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9945145314987287,0.9256504077784694,,False,488.6099290780142,527.855791962175,1.0
Property_078,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_078,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.04540189351562498,1.0959413294469218,,False,775.0921985815603,707.2387706855792,0.4091194742085404
Property_079,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_079,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.8864968558653012,0.991246107749251,,False,1396.0283687943263,1408.3569739952718,1.0
Property_080,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_080,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998904591612454,0.8691747161498051,,False,654.7659574468086,753.3191489361702,1.0
Property_081,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_081,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999996895329736,0.8234087420233455,,False,2544.9929078014184,3090.801418439716,1.0
Property_082,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_082,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9961545922812111,0.9127690768725611,,False,2825.851063829787,3095.9101654846336,1.0
Property_083,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
